customer_id,actual,spark_pred,spark_proba,py_pred,py_proba,match,proba_diff,spark_correct,py_correct
CUST003535,0,0,0.11936843301454902,0,0.4826078167225186,1,0.3632,1,1
CUST002200,0,1,0.5458732320244498,1,0.9460806007364658,1,0.4002,0,0
CUST000178,0,0,0.03450555333573535,0,0.102216151462189,1,0.0677,1,1
CUST001833,1,0,0.26391341796839163,1,0.7696543279647728,0,0.5057,0,1
CUST000746,0,0,0.18441763439119618,1,0.6031557863894101,0,0.4187,1,0
CUST000628,0,0,0.3726579751788337,1,0.8351969539442057,0,0.4625,1,0
CUST001248,1,1,0.5902743290188854,1,0.9357748253683638,1,0.3455,1,1
CUST000548,0,0,0.03582369320059531,0,0.12237962682915897,1,0.0866,1,1
CUST000603,0,0,0.43455780917874154,1,0.8907472401152081,0,0.4562,1,0
CUST003305,0,0,0.061528499847201656,0,0.2240375395391532,1,0.1625,1,1
CUST002805,0,0,0.17467161841769618,1,0.6131865215168406,0,0.4385,1,0
CUST002379,0,0,0.2747447939035531,1,0.7054451521972929,0,0.4307,1,0
CUST003807,0,0,0.035091852984087346,0,0.13904062730177513,1,0.1039,1,1
CUST002648,1,0,0.1724049507727452,1,0.579983282946425,0,0.4076,0,1
CUST003185,1,0,0.11833274347047862,0,0.3858138010420843,1,0.2675,0,0
CUST002818,0,0,0.3484271508215848,1,0.7789841544156659,0,0.4306,1,0
CUST003994,0,0,0.034426821854711354,0,0.11550078496222002,1,0.0811,1,1
CUST002381,0,0,0.28151884320955234,1,0.7786931023035061,0,0.4972,1,0
CUST003362,0,0,0.07416102807407776,0,0.23742443092557816,1,0.1633,1,1
CUST000909,0,0,0.03508824492788498,0,0.12809460591750915,1,0.093,1,1
CUST000659,0,0,0.036289651286640745,0,0.13992039476454868,1,0.1036,1,1
CUST003813,0,0,0.2819801877136131,1,0.7308499718814835,0,0.4489,1,0
CUST002406,0,0,0.06263774567437896,0,0.2628208270768215,1,0.2002,1,1
CUST001306,0,0,0.11798166671805432,0,0.42906462896822445,1,0.3111,1,1
CUST003586,0,0,0.34059204318566627,1,0.8387720469895105,0,0.4982,1,0
CUST000537,0,0,0.06248064039060541,0,0.26358568896344103,1,0.2011,1,1
CUST001419,1,0,0.07165436220703958,0,0.274139353284559,1,0.2025,0,0
CUST000313,1,0,0.26530768004209115,1,0.668133000457847,0,0.4028,0,1
CUST002285,0,0,0.1228972490332998,0,0.46744131157064056,1,0.3445,1,1
CUST003281,1,1,0.6772814765217023,1,0.9379876490406627,1,0.2607,1,1
CUST002592,1,1,0.6383009433149731,1,0.952656836564999,1,0.3144,1,1
CUST002325,1,0,0.19525743390019834,1,0.6469435778851391,0,0.4517,0,1
CUST002938,0,1,0.584597242564419,1,0.9318017344884616,1,0.3472,0,0
CUST002933,1,0,0.30465610215917394,1,0.7828855124369608,0,0.4782,0,1
CUST001245,0,0,0.12496718642966065,0,0.43951059921790664,1,0.3145,1,1
CUST001417,0,0,0.0653242317910726,0,0.29486173439109464,1,0.2295,1,1
CUST001913,0,0,0.0910382322741593,0,0.4583002931839785,1,0.3673,1,1
CUST001768,0,0,0.03443993172737336,0,0.12028187402407871,1,0.0858,1,1
CUST003490,0,0,0.0358645743563496,0,0.16431296437996556,1,0.1284,1,1
CUST003653,1,0,0.10734768225743319,0,0.3844769921758888,1,0.2771,0,0
CUST003194,0,0,0.22575249148559473,1,0.6894351155876017,0,0.4637,1,0
CUST003838,0,0,0.03492839517252888,0,0.12493170352744166,1,0.09,1,1
CUST001710,0,0,0.06695799386466383,0,0.31916837451228947,1,0.2522,1,1
CUST002599,1,0,0.3127435327243626,1,0.7504725627585441,0,0.4377,0,1
CUST002507,0,0,0.0366359829340972,0,0.19103200636173634,1,0.1544,1,1
CUST000875,0,0,0.06952898053576484,0,0.26536480583582817,1,0.1958,1,1
CUST002682,0,0,0.03778394055896028,0,0.13337220761003604,1,0.0956,1,1
CUST001653,0,0,0.06297774547523005,0,0.28961296062779535,1,0.2266,1,1
CUST002858,0,0,0.13175099210232055,1,0.5124541188130946,0,0.3807,1,0
CUST001371,1,0,0.12335397531543124,1,0.5047946088876056,0,0.3814,0,1
CUST000753,0,0,0.03700979380375391,0,0.17297152787817782,1,0.136,1,1
CUST003262,0,0,0.07497642113756176,0,0.38915671124098794,1,0.3142,1,1
CUST002387,0,0,0.004069802433463665,0,0.009597661810548679,1,0.0055,1,1
CUST000869,1,0,0.12284054284656565,1,0.5445557384366821,0,0.4217,0,1
CUST001252,0,0,0.11512818565307792,0,0.4235392208722776,1,0.3084,1,1
CUST003027,0,0,0.06134261642492589,0,0.2335816508251716,1,0.1722,1,1
CUST002759,0,0,0.06350306073934853,0,0.21741178727909108,1,0.1539,1,1
CUST002036,0,0,0.06510477601150877,0,0.20684008285464076,1,0.1417,1,1
