item_id,restaurant_id,order_date,actual,spark_pred,actual_py,py_pred,naive_7,abs_diff
M0079,R005,2026-09-23,2.0,2.4276984126984127,2.0,1.9090909090909092,3.0,0.5186075036075035
M0079,R005,2026-09-24,2.0,1.4216507936507936,2.0,1.9090909090909092,1.0,0.48744011544011556
M0079,R007,2026-09-24,1.0,1.9911111111111113,1.0,1.9090909090909092,3.0,0.0820202020202021
M0079,R008,2026-09-15,1.0,1.4971428571428573,1.0,1.9090909090909092,1.0,0.41194805194805184
M0079,R008,2026-09-16,2.0,1.3961111111111113,2.0,1.9090909090909092,1.0,0.5129797979797979
M0079,R008,2026-09-19,2.0,2.1495555555555557,2.0,1.9090909090909092,2.0,0.2404646464646465
M0079,R008,2026-09-22,1.0,2.1011428571428574,1.0,1.9090909090909092,3.0,0.19205194805194825
M0079,R008,2026-09-24,4.0,1.7333333333333334,4.0,1.9090909090909092,1.0,0.17575757575757578
M0079,R009,2026-09-24,2.0,2.2559841269841265,2.0,1.9090909090909092,2.0,0.34689321789321736
M0079,R011,2026-09-17,1.0,1.4206507936507937,1.0,1.9090909090909092,1.0,0.48844011544011545
M0079,R011,2026-09-18,1.0,1.8699841269841273,1.0,1.9090909090909092,2.0,0.03910678210678187
M0079,R011,2026-09-23,1.0,1.363142857142857,1.0,1.9090909090909092,1.0,0.5459480519480522
M0079,R011,2026-09-24,1.0,1.9005555555555553,1.0,1.9090909090909092,1.0,0.00853535353535384
M0079,R016,2026-09-19,2.0,2.0913174603174607,2.0,1.9090909090909092,2.0,0.18222655122655151
M0079,R016,2026-09-20,1.0,2.2750317460317464,1.0,1.9090909090909092,3.0,0.36594083694083723
M0079,R016,2026-09-21,2.0,1.7955555555555553,2.0,1.9090909090909092,1.0,0.11353535353535382
M0079,R016,2026-09-22,1.0,2.7855555555555553,1.0,1.9090909090909092,2.0,0.8764646464646462
M0081,R001,2026-09-11,1.0,1.5772857142857142,1.0,1.9090909090909092,1.0,0.331805194805195
M0081,R001,2026-09-17,2.0,2.6009523809523807,2.0,1.9090909090909092,2.0,0.6918614718614715
M0081,R001,2026-09-19,1.0,2.015333333333333,1.0,1.9090909090909092,2.0,0.1062424242424238
M0081,R001,2026-09-20,1.0,1.3244444444444443,1.0,1.9090909090909092,1.0,0.5846464646464649
M0081,R001,2026-09-22,1.0,1.5577777777777777,1.0,1.9090909090909092,1.0,0.35131313131313147
M0081,R001,2026-09-24,4.0,1.4729999999999999,4.0,1.9090909090909092,1.0,0.4360909090909093
M0081,R006,2026-09-21,1.0,2.430555555555556,1.0,1.9090909090909092,3.0,0.5214646464646466
M0081,R016,2026-09-13,2.0,2.1945555555555556,2.0,1.9090909090909092,2.0,0.2854646464646464
M0081,R016,2026-09-15,2.0,2.414555555555556,2.0,1.9090909090909092,2.0,0.5054646464646466
M0081,R016,2026-09-16,1.0,2.1721428571428576,1.0,1.9090909090909092,4.0,0.2630519480519484
M0081,R016,2026-09-21,2.0,1.7188888888888887,2.0,1.9090909090909092,1.0,0.19020202020202048
M0081,R016,2026-09-24,1.0,1.3923650793650793,1.0,1.9090909090909092,1.0,0.5167258297258299
